STA,LAT,LON,ELEV,CHN,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG,MS,8.2
SVE,56.827,60.637,275,???,35.19,335.3,P,P,15-01-1934,08:50:17,-1.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SVE,56.827,60.637,275,???,35.19,335.3,S,S,15-01-1934,08:55:55,3.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SEO,37.5667,126.967,86,???,35.54,62.3,P,P,15-01-1934,08:50:17,-5.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
SEO,37.5667,126.967,86,???,35.54,62.3,S,S,15-01-1934,08:55:57,-0.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TAE,35.8667,128.6,50,???,36.74,65.3,P,P,15-01-1934,08:50:29,-3.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TAE,35.8667,128.6,50,???,36.74,65.3,S,S,15-01-1934,08:56:17,1.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
GRO,43.32,45.75,123,???,36.81,307.2,P,P,15-01-1934,08:50:33,0.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TIF,41.7167,44.8,399,???,37.18,304.4,P,P,15-01-1934,08:50:31,-5.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TIF,41.7167,44.8,399,???,37.18,304.4,S,S,15-01-1934,08:56:25,2.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
ERE,40.17,44.47,998,???,37.19,301.8,P,P,15-01-1934,08:50:40,3.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
ERE,40.17,44.47,998,???,37.19,301.8,S,S,15-01-1934,08:56:14,-8.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NGS,32.7317,129.87,24,???,37.81,70.5,P,P,15-01-1934,08:50:36,-5.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NGS,32.7317,129.87,24,???,37.81,70.5,S,S,15-01-1934,08:56:34,2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
FKK,33.58,130.38,3,???,38.2,69.1,P,P,15-01-1934,08:50:40,-4.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
FKK,33.58,130.38,3,???,38.2,69.1,S,S,15-01-1934,08:56:44,6.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
FKK,33.58,130.38,3,???,38.2,69.1,P,P,15-01-1934,08:50:40,-4.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
FKK,33.58,130.38,3,???,38.2,69.1,S,S,15-01-1934,08:56:40,2.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
DJA,-6.1833,106.8362,8,???,38.28,146.3,P,P,15-01-1934,08:50:47,1.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KAG,31.5508,130.5508,2,???,38.46,72.3,S,S,15-01-1934,08:56:46,4.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KUM,32.81,130.71,39,???,38.51,70.3,P,P,15-01-1934,08:50:43,-4.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KUM,32.81,130.71,39,???,38.51,70.3,S,S,15-01-1934,08:56:44,1.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MLB,-7.2167,107.617,1550,???,39.55,146,S,S,15-01-1934,08:57:01,2.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HMD,34.8933,132.073,21,???,39.57,67,P,P,15-01-1934,08:50:51,-5.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HMD,34.8933,132.073,21,???,39.57,67,S,S,15-01-1934,08:56:58,-0.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
