TAS    11.60 323.2 PM       08:04:51.5                                   ___          9000.0  8.00  __            17619217
TAS    11.60 323.2 PM       08:04:51.5                                   ___          8500.0  8.00  __            17619218
TAS    11.60 323.2 PM       08:04:51.5                                   ___         11000.0  8.00  __            17619219
TAS    11.60 323.2 Sn       08:06:56.0     0.4                           T__                        _i            17619216
TAS    11.60 323.2          08:06:56.0                                   ___         35000.0  4.00  __            17619221
TAS    11.60 323.2 M        08:09:00.0                                   ___       1700000.0 10.00  __            17619223
SAM    11.84 311.2 Pn       08:04:48.0    -1.7                           T__                        de            23698906
SAM    11.84 311.2 Sn       08:06:48.0   -13.8                           ___                        _e            23698907
SHL    13.53 116.6 Pn       08:05:10.6    -2.3                           T__                        _i            23698908
SHL    13.53 116.6 Sn       08:07:50.6     7.3                           T__                        _i            23698909
HYB    14.87 179.8 Pn       08:05:27.0    -4.2                           T__                        _e            23698910
HYB    14.87 179.8 Sn       08:08:03.3   -12.5                           ___                        _e            23698911
MSH    16.10 289.4 Pn       08:05:47.2    -0.0                           T__                        d_            23698912
MSH    16.10 289.4          08:05:48.4                                   ___                        _i            23698913
MSH    16.10 289.4 Sn       08:08:40.0    -5.7                           T__                        _i            23698914
ASH    17.38 294.3 P        08:06:05.4     0.8                           T__                        c_            23698915
ASH    17.38 294.3 P        08:06:06.0     1.4                           T__                        __            17619224
ASH    17.38 294.3 M        08:20:30.0                                   ___        177000.0  7.00  __            17619226
ASH    17.38 294.3 M        08:20:30.0                                   ___        175000.0  7.00  __            17619227
SEM    18.09   3.6 Pn       08:06:10.3    -1.9                           T__                        __            23698916
GBA    18.69 183.2 P        08:06:16.0    -3.2                           T__                        c_            23698917
KAT    19.21 296.5 Pn       08:06:25.0    -0.7                           T__                        c_            23698918
KAT    19.21 296.5 Pn       08:06:25.0    -0.7                           T__                        _i            17619228
KAT    19.21 296.5 PM       08:06:31.0                                   ___         34000.0  7.00  __            17619230
KAT    19.21 296.5 Sn       08:09:57.0    -3.9                           T__                        _e            17619229
KOD    22.03 182.7 P        08:06:56.6     0.9                           T__                        d_ mb     4.8 23698919
KOD    22.03 182.7 sP       08:07:28.0    24.7                           ___                        d_            23698920
KOD    22.03 182.7 PPP      08:07:40.0                                   ___                        __            23698921
KOD    22.03 182.7 PcP      08:10:47.0    -6.9                           T__                        __            23698922
KOD    22.03 182.7 Sn       08:11:06.0    -3.4                           ___                        _i            23698923
SHI    22.41 270.0 P        08:07:01.0     1.3                           T__                        _e            23698924
